item_name,correct,freq,wordclass,image,testCat
house,0,2.65,1,0.36,0
car,1,0.1,1,4.06,1
yellow ,0,2.03,6,3.8,2
red,1,2.82,5,4.06,0
bla,1,1.84,6,4.15,1
test,1,2.66,7,3.96,2
foo,0,0.66,7,1.6,0
bar,0,1.33,7,1.11,1
foobar,1,1.09,7,0.16,2
green,1,3.4,2,4.49,0
eat,0,4.22,6,2.03,1
sleep,0,3.65,4,2.88,2
drink,0,0.65,7,0.94,0
sing,0,2.24,7,3.52,1
table,1,2.88,6,2.03,2
chair,0,3.63,5,3.39,0
purple,1,2.37,4,3.2,1
he,1,1.84,6,4.41,2
she,1,2.74,5,0.61,0
it,0,1.7,7,2.96,0
we,0,4,7,0.61,1
you,2,0.38,2,3.79,2
they,2,2.41,5,1.97,0
us,2,3.52,7,4.22,0
before,2,0.69,4,2.64,1
after,2,0.92,5,3.03,2
behind,2,1.61,3,2.56,0
yesterday,2,0.81,7,4.33,0
tomorrow,2,4.07,5,1.18,1
seat,1,1.83,6,1.07,0
sofa,1,2.78,5,0.73,0
desk,0,0.16,6,0.98,1
dance,0,2.34,5,1.69,2
yell,1,4.24,2,1.5,0
learn,0,4.11,7,4.1,1
teach,0,0.7,3,2.32,2
ab1,0,3.63,5,3.39,0
ab2,1,2.37,4,3.2,1
ab3,1,1.84,6,4.41,2
ab4,1,2.74,5,0.61,0
ab5,0,1.7,7,2.96,0
ab6,0,4,7,0.61,1
ab7,2,0.38,2,3.79,2
ab8,2,2.41,5,1.97,0
ab9,2,3.52,7,4.22,0
ab10,2,0.69,4,2.64,1
ab11,2,0.92,5,3.03,2
ab12,2,1.61,3,2.56,0
ab13,2,0.81,7,4.33,0
ab14,2,4.07,5,1.18,1
ab15,1,1.83,6,1.07,0
ab16,1,2.78,5,0.73,0
ab17,0,0.16,6,0.98,1
ab18,0,2.34,5,1.69,2
ab19,1,4.24,2,1.5,0
ab20,0,4.11,7,4.1,1
ab21,0,0.7,3,2.32,2